date,actual_close,point_forecast,pred_lo,pred_hi,actual_ret,pred_ret,signal_scheme_1prime,blocked,tc_cost,pnl
2025-01-09,77122.0,77267.03954030269,76364.48870581623,78166.31903082367,0.00404072451200311,0.005919608963941536,0.0,1,0.0,0.0
2025-01-10,77355.0,77540.45116585735,76638.36370859662,78437.40961001435,0.0030166325950535867,0.005411167141718129,0.0,1,0.0,0.0
2025-01-13,77355.0,77633.22314006362,76973.87141944109,78779.96249688802,0.0,0.0035902526434949222,0.0,1,0.0,0.0
2025-01-14,77971.0,77871.33237708025,77197.67053456634,79011.1030461344,0.007931746513915571,0.006652663546047114,0.0,1,0.0,0.0
2025-01-15,77971.0,78286.88652734656,77516.67530555838,79338.81710798854,0.0,0.004043148985110628,0.0,1,0.0,0.0
2025-01-16,78098.0,78378.22785694311,77340.85907549015,79154.53878528229,0.0016274856381751062,0.0052092201976511755,0.0,1,0.0,0.0
2025-01-17,78708.0,78442.64931931683,77366.21554265561,79201.07943795266,0.007780353776476182,0.004403327540684719,0.0,1,0.0,0.0
2025-01-20,78708.0,78919.76501986942,77943.93035215413,79765.14238292252,0.0,0.002686901603214123,0.0,1,0.0,0.0
2025-01-21,79002.0,79058.47820064226,78329.59926636,80154.79513497134,0.0037283665026628604,0.004443006919911682,0.0,1,0.0,0.0
2025-01-22,79177.0,79240.43655203478,78424.9193330627,80267.02014382892,0.002212684002295739,0.003013562451110391,0.0,1,0.0,0.0
2025-01-23,79765.0,79503.52215713536,78510.14105454026,80318.3761152321,0.007398959148403494,0.004115471937679591,0.0,1,0.0,0.0
2025-01-24,79630.0,79720.43539455497,78975.36081615872,80806.94668725914,-0.0016939054836074023,-0.0005588548759282879,-1.0,0,0.0005,0.0011939054836074023
2025-01-27,79630.0,79929.09873839091,79151.00988995211,80966.46777295248,0.0,0.0037490696687084006,0.0,1,0.0005,-0.0005
2025-01-28,80028.0,80056.9571074779,79240.68741434751,81079.61940962015,0.004985667168816028,0.0053474389219767,1.0,0,0.0005,0.004485667168816028
2025-01-29,79999.0,80334.46445855226,79139.30362532468,80981.92134878965,-0.00036243884241354905,0.0038221516821639475,1.0,0,0.0,-0.00036243884241354905
2025-01-30,80581.0,80768.571039714,79968.55671805842,81785.24509281619,0.007248755117743585,0.009573782981186161,1.0,0,0.0,0.007248755117743585
2025-01-31,81798.0,81482.83979333108,79968.31760117304,81826.27499565374,0.014989903718548067,0.011129553680513885,1.0,0,0.0,0.014989903718548067
2025-02-03,82313.0,82273.00158243383,80930.92298149182,82783.55494116856,0.006276260464544447,0.0057902116150791985,1.0,0,0.0,0.006276260464544447
2025-02-04,82792.0,82833.29962823432,81360.53232447234,83216.44321397868,0.00580238446927985,0.006301096069295257,1.0,0,0.0,0.00580238446927985
2025-02-05,84377.0,83485.46374438689,82073.10915610468,83941.18910834467,0.018963414249597403,0.008341091442485581,1.0,0,0.0,0.018963414249597403
2025-02-06,84252.0,84387.15831521693,81502.84992256148,84387.15831521693,-0.0014825447923571722,0.00012038474674487739,1.0,0,0.0,-0.0014825447923571722
2025-02-07,84288.0,84494.24756454788,84040.34089163787,85899.2966515208,0.0004271982977037953,0.0028711480635326405,0.0,1,0.0005,-0.0005
2025-02-10,85379.0,84569.87445926148,83466.37407025418,85344.73546728215,0.012860662795598738,0.0033386032127296823,1.0,0,0.0005,0.012360662795598738
2025-02-11,85081.0,85001.41126798825,83335.70987389251,85181.67017123863,-0.003496425009822077,-0.004432309411125889,-1.0,0,0.001,0.0024964250098220768
2025-02-12,84688.0,85099.94976968142,84660.3013479544,86515.74437437786,-0.0046298287909607334,0.00022270142204973515,1.0,0,0.001,-0.0056298287909607335
2025-02-13,85443.0,85045.72886084692,84447.09478843336,86331.91922116403,0.008875571839379074,0.004215183309976078,1.0,0,0.0,0.008875571839379074
2025-02-14,85769.0,85218.87836435475,84098.47699833149,85931.36261582607,0.003808148891092359,-0.002626500617891632,-1.0,0,0.001,-0.0048081488910923596
2025-02-17,84923.0,85540.682296167,84825.73387096645,86648.57429204704,-0.009912672268110975,-0.0026655567386440517,-1.0,0,0.0,0.009912672268110975
2025-02-18,85387.0,85502.00236464756,84730.56611776602,86610.31125927222,0.005448900804801438,0.006794831560052968,1.0,0,0.001,0.004448900804801438
2025-02-19,86360.0,85576.85959367828,84505.33889968623,86346.24193759193,0.011330741263812819,0.002221050369108926,1.0,0,0.0,0.011330741263812819
2025-02-20,86243.0,85972.38002996339,84742.349967302,86552.91524964682,-0.0013557124490313319,-0.004498523419087047,-1.0,0,0.001,0.00035571244903133186
2025-02-21,85695.0,86236.80599986344,85995.70942523977,87849.73142757913,-0.006374412353039776,-7.182290243562675e-05,-1.0,0,0.0,0.006374412353039776
2025-02-24,86086.0,85843.9481510861,85257.09563275766,87119.36829790067,0.004552315742055723,0.0017366107245599827,1.0,0,0.001,0.0035523157420557228
2025-02-25,86275.0,85853.65747541652,84824.26455985967,86658.15742992822,0.002193072397475843,-0.002702607058961709,-1.0,0,0.001,-0.003193072397475843
2025-02-26,86275.0,85920.15208183527,85280.66506013155,87104.6022617507,0.0,-0.004121468185096798,-1.0,0,0.0,-0.0
2025-02-27,85225.0,85620.61055430952,85364.13734195857,87199.5900566402,-0.012245050960100288,-0.007613837315005819,-1.0,0,0.0,0.012245050960100288
2025-02-28,84789.0,85166.43340144544,84797.51511851502,86650.51401261044,-0.00512900062121676,-0.0006874359783449055,-1.0,0,0.0,0.00512900062121676
2025-03-03,84828.0,85091.17147434418,84495.8912334491,86344.83957994473,0.000459859574067317,0.00355746983772787,1.0,0,0.001,-0.000540140425932683
2025-03-04,86022.0,85309.32542502448,84209.66807813423,86023.15818364399,0.013977400515368653,0.005658096574865923,1.0,0,0.0,0.013977400515368653
2025-03-05,85992.0,85645.60345052854,83950.26868387584,85800.99088605765,-0.00034880882142353,-0.00438518561541635,-1.0,0,0.001,-0.00065119117857647
2025-03-06,85468.0,85847.46604777945,85780.90891496422,87622.72984389546,-0.006112231790020578,-0.0016821978050577113,-1.0,0,0.0,0.006112231790020578
2025-03-07,85730.0,85784.49976741549,84718.56957758257,86614.35442305396,0.003060785809922857,0.003696297901596225,1.0,0,0.001,0.002060785809922857
2025-03-10,85721.0,85901.00595856892,85059.22119502058,86944.99835411539,-0.00010498626439349303,0.0019927170408567925,1.0,0,0.0,-0.00010498626439349303
2025-03-11,85663.0,85965.64691382197,85146.4468226499,86974.09346831507,-0.0006768426715938828,0.0028499255335968938,1.0,0,0.0,-0.0006768426715938828
2025-03-12,85765.0,85958.96167041006,85133.77165516817,86990.72703811132,0.0011900041071113187,0.0034489987285541944,1.0,0,0.0,0.0011900041071113187
2025-03-13,86410.0,86360.475629628,85253.79216919918,87087.51295231361,0.007492411991519604,0.006919115291976995,1.0,0,0.0,0.007492411991519604
2025-03-14,86410.0,86965.28871110427,85798.78213317828,87616.12452550368,0.0,0.0064056488553111916,1.0,0,0.0,0.0
2025-03-17,87722.0,87233.64473222767,86361.79996997176,88194.1562349206,0.015069313254069069,0.009486680731975502,1.0,0,0.0,0.015069313254069069
2025-03-18,88025.0,87766.96261398129,86214.42709349738,88057.3743889247,0.0034481419337391898,0.0005124266996102667,1.0,0,0.0,0.0034481419337391898
2025-03-19,88288.0,88247.00231180603,87500.29312972992,89325.52558486431,0.0029833329937593157,0.0025188620571844956,1.0,0,0.0,0.0029833329937593157
2025-03-20,88153.0,88320.72235365625,87352.66623664305,89221.38384485648,-0.001530256871633721,0.0003705632835637964,1.0,0,0.0,-0.001530256871633721
2025-03-21,87821.0,88121.49037155097,87224.09500348807,89090.01287627459,-0.003773289166694092,-0.0003575063949210146,-1.0,0,0.001,0.002773289166694092
2025-03-24,87447.0,87927.6390251909,87389.62134248538,89261.80322450919,-0.0042677564377016294,0.001213540416238673,1.0,0,0.001,-0.0052677564377016295
2025-03-25,87438.0,87723.58188994309,87212.55837306567,89064.75832435675,-0.00010292477923143142,0.0031578603758737047,1.0,0,0.0,-0.00010292477923143142
2025-03-26,87363.0,87873.82391147267,86895.84862682773,88743.21394858314,-0.0008581187133059749,0.0049719956084255295,1.0,0,0.0,-0.0008581187133059749
2025-03-27,88112.0,88012.81940675783,87039.2293174755,88882.74927680606,0.008536880453816974,0.007410626879107727,1.0,0,0.0,0.008536880453816974
2025-03-28,88691.0,88524.19348592781,87100.14238311008,88959.80142034248,0.0065496860329937266,0.004667154856592317,1.0,0,0.0,0.0065496860329937266
2025-03-31,88691.0,89267.34450226095,88219.97427794093,90068.20412799472,0.0,0.006477319385590132,1.0,0,0.0,0.0
2025-04-01,90797.0,89450.36183404842,88820.73679844744,90697.6578888119,0.023467826860729974,0.00852543649178877,1.0,0,0.0,0.023467826860729974
2025-04-02,90764.0,90385.42536345542,88579.4416926134,90441.21448912505,-0.00036351419482590433,-0.004543214869263008,-1.0,0,0.001,-0.0006364858051740957
2025-04-03,90121.0,90442.24517662832,89669.69235739252,91543.2592689707,-0.007109519400520315,-0.0035512590772719963,-1.0,0,0.0,0.007109519400520315
2025-04-04,89762.0,89688.9106146506,88902.01459399794,90858.07397679423,-0.00399148865242025,-0.004806077880645837,-1.0,0,0.0,0.00399148865242025
2025-04-07,88314.0,89173.3009464826,88906.15329785366,90802.15832932014,-0.01626307772757823,-0.006580045127784865,-1.0,0,0.0,0.01626307772757823
2025-04-08,88047.0,88744.18854199613,88039.68440422275,89932.48969086864,-0.0030278826269934424,0.004859299556087123,1.0,0,0.001,-0.004027882626993442
2025-04-09,89297.0,89140.21001250889,87457.21999180948,89367.09607744848,0.014097129881770216,0.012339760689190578,1.0,0,0.0,0.014097129881770216
2025-04-10,89297.0,90460.61862390999,88686.69679070917,90520.98250462023,0.0,0.012946709978953105,1.0,0,0.0,0.0
2025-04-11,93127.0,90929.21934009955,90022.91435869085,91868.14430518495,0.041996260285892505,0.0181135017233969,1.0,0,0.0,0.041996260285892505
2025-04-14,93127.0,93173.19319616286,89718.06507434526,93173.19319616286,0.0,0.000495900689280218,1.0,0,0.0,0.0
2025-04-15,92822.0,93657.48860038612,92982.7618923396,94837.62259115875,-0.0032804723179083984,0.005680236412728193,0.0,1,0.0005,-0.0005
2025-04-16,94304.0,93544.61586598206,92785.98733522328,94749.15556229981,0.015839925894018808,0.007754816858813284,1.0,0,0.0005,0.015339925894018808
2025-04-17,94629.0,94456.48005536175,91956.37769460492,94456.48005536175,0.0034403764357037697,0.001615593353897418,1.0,0,0.0,0.0034403764357037697
2025-04-18,94629.0,94786.78688188229,94116.55725615374,95951.66030578963,0.0,0.0016660376727507624,0.0,1,0.0005,-0.0005
2025-04-21,94629.0,94967.33601831742,94203.10817003486,96101.34905052421,0.0,0.003569018099856659,1.0,0,0.0005,-0.0005
2025-04-22,96276.0,95252.52303736038,94552.47328763672,96384.28643267819,0.017255083568531084,0.006567519246217388,1.0,0,0.0,0.017255083568531084
2025-04-23,98228.0,95588.11329983898,95302.33486647763,97147.34141380944,0.020072240541280584,-0.007170592100550194,-1.0,0,0.001,-0.021072240541280585
