date,mcx_gold
2019-07-25,34781.0
2019-07-26,34730.0
2019-07-29,34805.0
2019-07-30,34572.0
2019-07-31,35341.0
2019-08-01,35341.0
2019-08-02,36289.0
2019-08-05,37039.0
2019-08-06,37047.0
2019-08-07,37270.0
2019-08-08,37270.0
2019-08-09,37270.0
2019-08-12,37574.0
2019-08-13,37574.0
2019-08-14,37466.0
2019-08-15,37466.0
2019-08-16,37469.0
2019-08-19,37550.0
2019-08-20,37668.0
2019-08-21,37599.0
2019-08-22,37599.0
2019-08-23,38578.0
2019-08-26,38795.0
2019-08-27,38743.0
2019-08-28,38405.0
2019-08-29,38405.0
2019-08-30,38405.0
2019-09-02,38405.0
2019-09-03,39011.0
2019-09-04,39006.0
2019-09-05,38185.0
2019-09-06,38185.0
2019-09-09,38185.0
2019-09-10,37902.0
2019-09-11,37669.0
2019-09-12,37592.0
2019-09-13,37592.0
2019-09-16,37855.0
2019-09-17,37542.0
2019-09-18,37456.0
2019-09-19,37390.0
2019-09-20,37390.0
2019-09-23,37771.0
2019-09-24,38006.0
2019-09-25,37622.0
2019-09-26,37481.0
2019-09-27,37481.0
2019-09-30,37201.0
2019-10-01,37201.0
2019-10-02,37919.0
2019-10-03,38151.0
2019-10-04,38151.0
2019-10-07,38151.0
2019-10-08,38179.0
2019-10-09,38361.0
2019-10-10,38154.0
2019-10-11,38154.0
2019-10-14,38534.0
2019-10-15,38203.0
2019-10-16,38227.0
2019-10-17,38241.0
2019-10-18,38241.0
2019-10-21,38173.0
2019-10-22,38295.0
2019-10-23,38281.0
2019-10-24,38630.0
2019-10-25,38630.0
2019-10-28,38630.0
2019-10-29,38650.0
2019-10-30,38703.0
2019-10-31,38703.0
2019-11-01,38692.0
2019-11-04,38304.0
2019-11-05,38180.0
2019-11-06,37919.0
2019-11-07,37919.0
2019-11-08,37993.0
2019-11-11,38205.0
2019-11-12,38217.0
2019-11-13,38096.0
2019-11-14,38096.0
2019-11-15,37931.0
2019-11-18,38305.0
2019-11-19,38096.0
2019-11-20,38157.0
2019-11-21,38157.0
2019-11-22,37862.0
2019-11-25,37751.0
2019-11-26,37771.0
2019-11-27,37876.0
2019-11-28,37876.0
2019-11-29,37795.0
2019-12-02,38162.0
2019-12-03,38042.0
2019-12-04,38032.0
2019-12-05,38032.0
2019-12-06,37650.0
2019-12-09,37631.0
2019-12-10,37763.0
2019-12-11,37691.0
2019-12-12,37691.0
2019-12-13,37891.0
2019-12-16,37955.0
2019-12-17,37882.0
2019-12-18,37957.0
2019-12-19,37957.0
2019-12-20,38128.0
2019-12-23,38128.0
2019-12-24,38641.0
2019-12-25,38641.0
2019-12-26,38791.0
2019-12-27,38791.0
2019-12-30,39076.0
2019-12-31,38995.0
2020-01-01,39068.0
2020-01-02,39948.0
2020-01-03,39948.0
2020-01-06,40372.0
2020-01-07,40694.0
2020-01-08,39706.0
2020-01-09,39607.0
2020-01-10,39607.0
2020-01-13,39602.0
2020-01-14,39602.0
2020-01-15,39727.0
2020-01-16,39804.0
2020-01-17,39804.0
2020-01-20,39851.0
2020-01-21,39912.0
2020-01-22,39872.0
2020-01-23,40002.0
2020-01-24,40002.0
2020-01-27,40456.0
2020-01-28,40312.0
2020-01-29,40717.0
2020-01-30,40694.0
2020-01-31,40694.0
2020-02-03,40471.0
2020-02-04,40059.0
2020-02-05,40406.0
2020-02-06,40556.0
2020-02-07,40556.0
2020-02-10,40468.0
2020-02-11,40467.0
2020-02-12,40619.0
2020-02-13,40676.0
2020-02-14,40676.0
2020-02-17,40976.0
2020-02-18,41491.0
2020-02-19,41590.0
2020-02-20,41590.0
2020-02-21,41590.0
2020-02-24,42717.0
2020-02-25,42530.0
2020-02-26,42451.0
2020-02-27,42352.0
2020-02-28,42352.0
2020-03-02,42315.0
2020-03-03,43146.0
2020-03-04,43294.0
2020-03-05,44315.0
2020-03-06,44315.0
2020-03-09,44315.0
2020-03-10,43427.0
2020-03-11,43228.0
2020-03-12,41859.0
2020-03-13,41859.0
2020-03-16,39741.0
2020-03-17,40649.0
2020-03-18,40395.0
2020-03-19,41125.0
2020-03-20,41125.0
2020-03-23,40989.0
2020-03-24,40989.0
2020-03-25,40989.0
2020-03-26,40989.0
2020-03-27,40989.0
2020-03-30,40989.0
2020-03-31,40989.0
2020-04-01,40989.0
2020-04-02,40989.0
2020-04-03,40989.0
2020-04-06,40989.0
2020-04-07,40989.0
2020-04-08,40989.0
2020-04-09,40989.0
2020-04-10,40989.0
2020-04-13,40989.0
2020-04-14,40989.0
2020-04-15,40989.0
2020-04-16,40989.0
2020-04-17,40989.0
2020-04-20,40989.0
2020-04-21,40989.0
2020-04-22,40989.0
2020-04-23,40989.0
2020-04-24,40989.0
2020-04-27,40989.0
2020-04-28,40989.0
2020-04-29,40989.0
2020-04-30,40989.0
2020-05-01,40989.0
2020-05-04,40989.0
2020-05-05,40989.0
2020-05-06,40989.0
2020-05-07,40989.0
2020-05-08,40989.0
2020-05-11,40989.0
2020-05-12,40989.0
2020-05-13,40989.0
2020-05-14,40989.0
2020-05-15,40989.0
2020-05-18,40989.0
2020-05-19,40989.0
2020-05-20,40989.0
2020-05-21,40989.0
2020-05-22,40989.0
2020-05-25,40989.0
2020-05-26,40989.0
2020-05-27,40989.0
2020-05-28,40989.0
2020-05-29,40989.0
2020-06-01,40989.0
2020-06-02,40989.0
2020-06-03,40989.0
2020-06-04,46609.0
2020-06-05,46640.0
2020-06-08,46640.0
2020-06-09,46264.0
2020-06-10,46588.0
2020-06-11,46782.0
2020-06-12,47206.0
2020-06-15,47206.0
2020-06-16,46803.0
2020-06-17,47374.0
2020-06-18,47202.0
2020-06-19,47302.0
2020-06-22,47302.0
2020-06-23,47911.0
2020-06-24,47942.0
2020-06-25,48389.0
2020-06-26,48021.0
2020-06-29,48021.0
2020-06-30,48376.0
2020-07-01,48304.0
2020-07-02,48730.0
2020-07-03,48173.0
2020-07-06,48173.0
2020-07-07,48168.0
2020-07-08,48235.0
2020-07-09,48965.0
2020-07-10,49054.0
2020-07-13,49054.0
2020-07-14,49140.0
2020-07-15,48998.0
2020-07-16,49062.0
2020-07-17,49077.0
2020-07-20,49077.0
2020-07-21,49118.0
2020-07-22,49264.0
2020-07-23,50015.0
2020-07-24,50619.0
2020-07-27,50619.0
2020-07-28,52260.0
2020-07-29,52278.0
2020-07-30,52853.0
2020-07-31,53099.0
2020-08-03,53099.0
2020-08-04,53615.0
2020-08-05,53772.0
2020-08-06,55230.0
2020-08-07,55560.0
2020-08-10,55560.0
2020-08-11,55331.0
2020-08-12,53758.0
2020-08-13,53758.0
2020-08-14,52441.0
2020-08-17,52441.0
2020-08-18,52690.0
2020-08-19,53752.0
2020-08-20,53185.0
2020-08-21,52317.0
2020-08-24,52317.0
2020-08-25,52024.0
2020-08-26,51440.0
2020-08-27,51018.0
2020-08-28,51234.0
2020-08-31,51234.0
2020-09-01,51246.0
2020-09-02,51521.0
2020-09-03,51088.0
2020-09-04,50840.0
2020-09-07,50840.0
2020-09-08,51008.0
2020-09-09,50967.0
2020-09-10,51066.0
2020-09-11,51416.0
2020-09-14,51416.0
2020-09-15,51260.0
2020-09-16,51915.0
2020-09-17,51797.0
2020-09-18,51495.0
2020-09-21,51495.0
2020-09-22,51258.0
2020-09-23,50623.0
2020-09-24,50251.0
2020-09-25,49638.0
2020-09-28,49638.0
2020-09-29,49550.0
2020-09-30,50313.0
2020-10-01,50325.0
2020-10-02,50249.0
2020-10-05,50249.0
2020-10-06,50418.0
2020-10-07,50817.0
2020-10-08,50069.0
2020-10-09,50180.0
2020-10-12,50180.0
2020-10-13,51034.0
2020-10-14,50914.0
2020-10-15,50467.0
2020-10-16,50476.0
2020-10-19,50476.0
2020-10-20,50828.0
2020-10-21,50766.0
2020-10-22,51230.0
2020-10-23,51149.0
2020-10-26,51149.0
2020-10-27,51048.0
2020-10-28,50847.0
2020-10-29,50656.0
2020-10-30,50699.0
2020-11-02,50699.0
2020-11-03,50890.0
2020-11-04,51068.0
2020-11-05,51069.0
2020-11-06,51313.0
2020-11-09,51313.0
2020-11-10,52280.0
2020-11-11,50446.0
2020-11-12,50530.0
2020-11-13,50738.0
2020-11-16,50738.0
2020-11-17,50738.0
2020-11-18,50738.0
2020-11-19,50738.0
2020-11-20,50141.0
2020-11-23,50141.0
2020-11-24,50180.0
2020-11-25,48958.0
2020-11-26,48947.0
2020-11-27,48965.0
2020-11-30,48965.0
2020-12-01,48778.0
2020-12-02,48314.0
2020-12-03,48973.0
2020-12-04,49361.0
2020-12-07,49361.0
2020-12-08,49059.0
2020-12-09,49671.0
2020-12-10,49505.0
2020-12-11,49049.0
2020-12-14,49049.0
2020-12-15,48695.0
2020-12-16,49103.0
2020-12-17,49601.0
2020-12-18,49790.0
2020-12-21,49790.0
2020-12-22,50115.0
2020-12-23,49979.0
2020-12-24,49706.0
2020-12-25,49706.0
2020-12-28,49706.0
2020-12-29,49706.0
2020-12-30,49866.0
2020-12-31,49854.0
2021-01-01,49774.0
2021-01-04,49774.0
2021-01-05,49774.0
2021-01-06,51012.0
2021-01-07,51465.0
2021-01-08,51539.0
2021-01-11,50256.0
2021-01-12,50256.0
2021-01-13,49344.0
2021-01-14,49488.0
2021-01-15,49285.0
2021-01-18,49285.0
2021-01-19,49285.0
2021-01-20,48812.0
2021-01-21,48977.0
2021-01-22,49086.0
2021-01-25,48920.0
2021-01-26,48920.0
2021-01-27,49239.0
2021-01-28,49239.0
2021-01-29,48814.0
2021-02-01,49205.0
2021-02-02,49205.0
2021-02-03,48724.0
2021-02-04,48182.0
2021-02-05,47768.0
2021-02-08,47048.0
2021-02-09,47048.0
2021-02-10,47457.0
2021-02-11,47907.0
2021-02-12,47778.0
2021-02-15,47193.0
2021-02-16,47193.0
2021-02-17,47195.0
2021-02-18,47257.0
2021-02-19,46490.0
2021-02-22,45954.0
2021-02-23,45954.0
2021-02-24,46475.0
2021-02-25,46711.0
2021-02-26,46621.0
2021-03-01,46425.0
2021-03-02,46425.0
2021-03-03,45826.0
2021-03-04,45314.0
2021-03-05,44970.0
2021-03-08,44310.0
2021-03-09,44310.0
2021-03-10,44349.0
2021-03-11,44451.0
2021-03-12,44478.0
2021-03-15,44177.0
2021-03-16,44177.0
2021-03-17,44674.0
2021-03-18,44740.0
2021-03-19,44763.0
2021-03-22,44788.0
2021-03-23,44788.0
2021-03-24,44641.0
2021-03-25,44818.0
2021-03-26,44679.0
2021-03-29,44569.0
2021-03-30,44569.0
2021-03-31,44569.0
2021-04-01,44331.0
2021-04-02,43994.0
2021-04-05,43994.0
2021-04-06,43994.0
2021-04-07,45058.0
2021-04-08,45191.0
2021-04-09,45829.0
2021-04-12,46284.0
2021-04-13,46284.0
2021-04-14,46397.0
2021-04-15,46391.0
2021-04-16,46391.0
2021-04-19,47021.0
2021-04-20,47021.0
2021-04-21,47475.0
2021-04-22,47314.0
2021-04-23,47314.0
2021-04-26,47569.0
2021-04-27,47569.0
2021-04-28,47569.0
2021-04-29,47569.0
2021-04-30,47569.0
2021-05-03,47569.0
2021-05-04,47569.0
2021-05-05,47569.0
2021-05-06,47569.0
2021-05-07,47569.0
2021-05-10,47569.0
2021-05-11,47569.0
2021-05-12,47569.0
2021-05-13,47569.0
2021-05-14,47569.0
2021-05-17,47569.0
2021-05-18,47569.0
2021-05-19,47569.0
2021-05-20,47569.0
2021-05-21,47569.0
2021-05-24,47569.0
2021-05-25,47569.0
2021-05-26,48447.0
2021-05-27,48482.0
2021-05-28,49051.0
2021-05-31,48541.0
2021-06-01,48541.0
2021-06-02,48933.0
2021-06-03,49173.0
2021-06-04,49049.0
2021-06-07,48403.0
2021-06-08,48403.0
2021-06-09,48624.0
2021-06-10,48857.0
2021-06-11,48736.0
2021-06-14,48872.0
2021-06-15,48872.0
2021-06-16,48134.0
2021-06-17,48445.0
2021-06-18,48217.0
2021-06-21,47122.0
2021-06-22,47122.0
2021-06-23,47005.0
2021-06-24,47155.0
2021-06-25,47021.0
2021-06-28,46991.0
2021-06-29,46991.0
2021-06-30,46903.0
2021-07-01,46782.0
2021-07-02,46504.0
2021-07-05,47434.0
2021-07-06,47434.0
2021-07-07,47272.0
2021-07-08,47793.0
2021-07-09,47835.0
2021-07-12,47723.0
2021-07-13,47723.0
2021-07-14,47723.0
2021-07-15,47758.0
2021-07-16,47965.0
2021-07-19,48182.0
2021-07-20,48182.0
2021-07-21,47931.0
2021-07-22,48033.0
2021-07-23,48033.0
2021-07-26,47560.0
2021-07-27,47560.0
2021-07-28,47763.0
2021-07-29,47562.0
2021-07-30,47617.0
2021-08-02,48250.0
2021-08-03,48250.0
2021-08-04,47849.0
2021-08-05,47850.0
2021-08-06,47852.0
2021-08-09,47464.0
2021-08-10,47464.0
2021-08-11,46337.0
2021-08-12,46047.0
2021-08-13,46151.0
2021-08-16,46554.0
2021-08-17,46554.0
2021-08-18,46856.0
2021-08-19,47404.0
2021-08-20,47133.0
2021-08-23,47078.0
2021-08-24,47078.0
2021-08-25,47199.0
2021-08-26,47502.0
2021-08-27,47287.0
2021-08-30,47025.0
2021-08-31,47025.0
2021-09-01,47025.0
2021-09-02,47106.0
2021-09-03,47094.0
2021-09-06,46998.0
2021-09-07,46998.0
2021-09-08,47337.0
2021-09-09,47224.0
2021-09-10,47003.0
2021-09-13,46898.0
2021-09-14,46898.0
2021-09-15,46841.0
2021-09-16,46802.0
2021-09-17,47065.0
2021-09-20,46178.0
2021-09-21,46178.0
2021-09-22,46149.0
2021-09-23,46332.0
2021-09-24,46637.0
2021-09-27,46058.0
2021-09-28,46058.0
2021-09-29,45989.0
2021-09-30,45778.0
2021-10-01,46054.0
2021-10-04,46212.0
2021-10-05,46212.0
2021-10-06,46204.0
2021-10-07,46462.0
2021-10-08,46663.0
2021-10-11,46806.0
2021-10-12,46806.0
2021-10-13,46897.0
2021-10-14,47119.0
2021-10-15,47248.0
2021-10-18,47899.0
2021-10-19,47899.0
2021-10-20,47184.0
2021-10-21,47388.0
2021-10-22,47363.0
2021-10-25,47604.0
2021-10-26,47604.0
2021-10-27,47913.0
2021-10-28,47975.0
2021-10-29,47697.0
2021-11-01,47794.0
2021-11-02,47794.0
2021-11-03,47621.0
2021-11-04,47652.0
2021-11-05,47257.0
2021-11-08,47257.0
2021-11-09,47257.0
2021-11-10,47257.0
2021-11-11,48052.0
2021-11-12,48207.0
2021-11-15,48805.0
2021-11-16,48805.0
2021-11-17,49177.0
2021-11-18,49336.0
2021-11-19,48968.0
2021-11-22,49038.0
2021-11-23,49038.0
2021-11-24,48710.0
2021-11-25,47669.0
2021-11-26,47447.0
2021-11-29,48153.0
2021-11-30,48153.0
2021-12-01,47964.0
2021-12-02,48031.0
2021-12-03,47590.0
2021-12-06,47361.0
2021-12-07,47361.0
2021-12-08,47690.0
2021-12-09,47682.0
2021-12-10,47979.0
2021-12-13,47622.0
2021-12-14,47622.0
2021-12-15,47997.0
2021-12-16,47976.0
2021-12-17,47872.0
2021-12-20,48614.0
2021-12-21,48614.0
2021-12-22,48373.0
2021-12-23,48092.0
2021-12-24,47947.0
2021-12-27,48088.0
2021-12-28,48088.0
2021-12-29,48018.0
2021-12-30,48041.0
2021-12-31,47794.0
2022-01-03,47899.0
2022-01-04,47899.0
2022-01-05,48157.0
2022-01-06,47853.0
2022-01-07,47979.0
2022-01-10,47395.0
2022-01-11,47395.0
2022-01-12,47415.0
2022-01-13,47500.0
2022-01-14,47753.0
2022-01-17,47851.0
2022-01-18,47851.0
2022-01-19,47983.0
2022-01-20,47943.0
2022-01-21,48070.0
2022-01-24,48458.0
2022-01-25,48458.0
2022-01-26,48650.0
2022-01-27,48687.0
2022-01-28,48687.0
2022-01-31,47875.0
2022-02-01,47875.0
2022-02-02,47706.0
2022-02-03,48044.0
2022-02-04,47927.0
2022-02-07,48082.0
2022-02-08,48082.0
2022-02-09,48075.0
2022-02-10,48256.0
2022-02-11,48472.0
2022-02-14,48745.0
2022-02-15,48745.0
2022-02-16,49597.0
2022-02-17,49431.0
2022-02-18,49329.0
2022-02-21,49894.0
2022-02-22,49894.0
2022-02-23,49899.0
2022-02-24,50082.0
2022-02-25,49882.0
2022-02-28,50617.0
2022-03-01,50617.0
2022-03-02,50479.0
2022-03-03,50479.0
2022-03-04,51258.0
2022-03-07,51559.0
2022-03-08,51559.0
2022-03-09,53267.0
2022-03-10,53192.0
2022-03-11,52940.0
2022-03-14,52263.0
2022-03-15,52263.0
2022-03-16,51764.0
2022-03-17,51396.0
2022-03-18,51125.0
2022-03-21,51371.0
2022-03-22,51371.0
2022-03-23,51274.0
2022-03-24,51273.0
2022-03-25,51383.0
2022-03-28,51780.0
2022-03-29,51780.0
2022-03-30,51584.0
2022-03-31,51264.0
2022-04-01,51283.0
2022-04-04,51599.0
2022-04-05,51599.0
2022-04-06,51211.0
2022-04-07,51215.0
2022-04-08,51533.0
2022-04-11,51671.0
2022-04-12,51671.0
2022-04-13,52292.0
2022-04-14,52376.0
