date,High,Low
2020-11-16,45271.111981932234,44880.11886122141
2020-11-17,45207.21649263623,45113.85213882682
2020-11-18,44689.39146719822,44689.39146719822
2020-11-19,44552.2110458517,44318.2021315929
2020-11-20,44640.04768266917,44606.673145973946
2020-11-23,43782.461220796846,43577.57851749627
2020-11-24,43522.62018851406,42808.861608289975
2020-11-25,42913.17471689311,42810.98525396041
2020-11-26,42896.51305868788,42794.3632722861
2020-11-27,43252.5857218641,42150.44107086522
2020-11-30,42543.213588427556,41950.48647748144
2020-12-01,43008.926663726896,42037.85668767919
2020-12-02,43422.307778867325,42895.54651522745
2020-12-03,43780.360602504545,43383.43884118592
2020-12-04,43836.17834595301,43375.89314278776
2020-12-07,44357.89510963727,43262.55103397384
2020-12-08,44340.189718187925,44009.257507986506
2020-12-09,44160.04941694005,43211.61766360699
2020-12-10,43794.482492809104,43294.746121819095
2020-12-11,43711.44726477728,43311.27146523842
2020-12-14,43412.95968567049,43105.51920469568
2020-12-15,43885.44768342741,43402.46094629121
2020-12-16,44116.7738861737,43780.81847702028
2020-12-17,44860.50554020686,44340.02713745476
2020-12-18,44692.52055234942,44522.21943262201
2020-12-21,45261.623418586336,44338.836072672755
2020-12-22,44688.92817660442,44185.57937209639
2020-12-23,44556.80009058247,44217.66638802707
2020-12-24,44452.215038691225,44352.89988548346
2020-12-25,44452.215038691225,44352.89988548346
2020-12-28,44801.5521176243,44279.2825472848
2020-12-29,44417.27428929007,44379.49617062602
2020-12-30,44680.38085081927,44244.371237753214
2020-12-31,44663.29772135836,44461.27346837914
2021-01-01,44704.55923639554,44502.34834635239
2021-01-04,45664.807605978705,44892.418883569924
2021-01-05,45942.92681748287,45674.71106892865
2021-01-06,46069.796175662916,44697.03369395727
2021-01-07,45419.47278274143,45072.94034433424
2021-01-08,44931.10421656727,43190.847561140064
2021-01-11,43639.106276905826,43094.08989342036
2021-01-12,43798.95776460987,43320.86148131974
2021-01-13,43711.02551613527,43593.43424827153
2021-01-14,43463.46834706416,43134.68001134632
2021-01-15,42975.06422230464,42871.70173774656
2021-01-18,43102.22556597281,42998.55723632389
2021-01-19,43355.12146106965,42392.92844856688
2021-01-20,43825.65618567108,43304.42644168597
2021-01-21,43840.50991046024,43777.14415237226
2021-01-22,43538.413341510626,43468.02737208596
2021-01-25,43733.084600803886,43430.54127731273
2021-01-26,43524.35387075077,43404.74052377075
2021-01-27,43254.65635711936,43254.65635711936
2021-01-28,43746.99093775055,43009.61557381002
2021-01-29,44001.90615204077,43127.0270219759
2021-02-01,43950.09533746941,43435.907534521844
2021-02-02,43666.09256287225,42875.48896379352
