date,mcx_silver
2022-02-06,65214.0
2022-02-13,65635.0
2022-02-20,64217.0
2022-02-27,63846.0
2022-03-06,64164.0
2022-03-13,63514.0
2022-03-20,66545.0
2022-03-27,69907.0
2022-04-03,69987.0
2022-04-10,71509.0
2022-04-17,74098.0
2022-04-24,75750.0
2022-05-01,74563.0
2022-05-08,74615.0
2022-05-15,73697.0
2022-05-22,76065.0
2022-05-29,76163.0
2022-06-05,71977.0
2022-06-12,71785.0
2022-06-19,70401.0
2022-06-26,70786.0
2022-07-03,72265.0
2022-07-10,73496.0
2022-07-17,70946.0
2022-07-24,72320.0
2022-07-31,68120.0
2022-08-07,68284.0
2022-08-14,70647.0
2022-08-21,70764.0
2022-08-28,74718.0
2022-09-04,74435.0
2022-09-11,75226.0
2022-09-18,74166.0
2022-09-25,71894.0
2022-10-02,69973.0
2022-10-09,70089.0
2022-10-16,71930.0
2022-10-23,73606.0
2022-10-30,74649.0
2022-11-06,72087.0
2022-11-13,70996.0
2022-11-20,71564.0
2022-11-27,71892.0
2022-12-04,70343.0
2022-12-11,67124.0
2022-12-18,66907.0
2022-12-25,69431.0
2023-01-01,71214.0
2023-01-08,71920.0
2023-01-15,70870.0
2023-01-22,70556.0
2023-01-29,70133.0
2023-02-05,70396.0
2023-02-12,70396.0
2023-02-19,72859.0
2023-02-26,75932.0
2023-03-05,74457.0
2023-03-12,73528.0
2023-03-19,74173.0
2023-03-26,74253.0
2023-04-02,74461.0
2023-04-09,73019.0
2023-04-16,71284.0
2023-04-23,71284.0
2023-04-30,71605.0
2023-05-07,71121.0
2023-05-14,71175.0
2023-05-21,70677.0
2023-05-28,69813.0
2023-06-04,70427.0
2023-06-11,70806.0
2023-06-18,70334.0
2023-06-25,69622.0
2023-07-02,69826.0
2023-07-09,72170.0
2023-07-16,73632.0
2023-07-23,73630.0
2023-07-30,73890.0
2023-08-06,74028.0
2023-08-13,79124.0
2023-08-20,81923.0
2023-08-27,83961.0
2023-09-03,82807.0
2023-09-10,80755.0
2023-09-17,79950.0
2023-09-24,79911.0
2023-10-01,84267.0
2023-10-08,85863.0
2023-10-15,92749.0
2023-10-22,89690.0
2023-10-29,92323.0
2023-11-05,90202.0
2023-11-12,87996.0
2023-11-19,87723.0
2023-11-26,90237.0
2023-12-03,87840.0
2023-12-10,89442.0
2023-12-17,91663.0
2023-12-24,91516.0
2023-12-31,91324.0
2024-01-07,84687.0
2024-01-14,81181.0
2024-01-21,83371.0
2024-01-28,79988.0
2024-02-04,80842.0
2024-02-11,81482.0
2024-02-18,84230.0
2024-02-25,84910.0
2024-03-03,82808.0
2024-03-10,82054.0
2024-03-17,86002.0
2024-03-24,88560.0
2024-03-31,90489.0
2024-04-07,89537.0
2024-04-14,92053.0
2024-04-21,89807.0
2024-04-28,91414.0
2024-05-05,97038.0
2024-05-12,95128.0
2024-05-19,96548.0
2024-05-26,90328.0
2024-06-02,88137.0
2024-06-09,86726.0
2024-06-16,90756.0
2024-06-23,87494.0
2024-06-30,89980.0
2024-07-07,90813.0
2024-07-14,89893.0
2024-07-21,86909.0
2024-07-28,87493.0
2024-08-04,87737.0
2024-08-11,87850.0
2024-08-18,89682.0
2024-08-25,89724.0
2024-09-01,90406.0
2024-09-08,91011.0
2024-09-15,92161.0
2024-09-22,93652.0
2024-09-29,95133.0
2024-10-06,97780.0
2024-10-13,97642.0
2024-10-20,95544.0
2024-10-27,93287.0
2024-11-03,96614.0
2024-11-10,97981.0
2024-11-17,100186.0
2024-11-24,97198.0
2024-12-01,100693.0
2024-12-08,95636.0
2024-12-15,89846.0
2024-12-22,92962.0
2024-12-29,94830.0
2025-01-05,96273.0
2025-01-12,96008.0
2025-01-19,94156.0
2025-01-26,95600.0
2025-02-02,94386.0
2025-02-09,95376.0
2025-02-16,96855.0
