date,High,Low
2022-11-24,56660.43170239259,55335.11542970378
2022-11-25,56318.64329005137,56082.285791250804
2022-11-28,54902.741252223335,54902.741252223335
2022-11-29,56228.87999178183,54770.60680900528
2022-11-30,57975.42394827272,55409.793433221384
2022-12-01,59433.72310479785,57631.908505898886
2022-12-02,60706.74664149384,58510.63647999864
2022-12-05,61696.24881804786,58343.1926894215
2022-12-06,59706.23120176646,58431.366244956356
2022-12-07,60394.55265601546,59665.310977864225
2022-12-08,61123.048044729294,59829.72174806714
2022-12-09,62706.387744875174,61158.90073625238
2022-12-12,62400.349225106744,61617.52514430839
2022-12-13,64307.43271202835,62097.73853991329
2022-12-14,63830.90937385386,62293.45411288118
2022-12-15,63707.93369702909,61300.09895231619
2022-12-16,61853.32585223983,61427.02722491948
2022-12-19,61233.80824260186,61010.45431417053
2022-12-20,64307.500966569845,61420.71147091274
2022-12-21,64129.74140139579,63956.673297565954
2022-12-22,63994.02195435315,62410.8036454329
2022-12-23,63621.28977304539,62901.95741886009
2022-12-26,63456.22153893782,62738.755524178596
2022-12-27,64305.29199059016,64038.91124330117
2022-12-28,64193.16533834198,62834.43821868364
2022-12-29,64107.23236002793,62781.3186195093
2022-12-30,64252.06108025193,63472.68087520859
2023-01-02,64259.8270875137,63480.35268047544
2023-01-03,65370.77396161697,63905.05853220905
2023-01-04,64175.24553808204,63230.12281576029
2023-01-05,62372.86157506389,61430.63445561208
2023-01-06,63359.62062970418,61944.655834172656
2023-01-09,62785.89326613628,62785.89326613628
2023-01-10,61813.27886263616,61597.65227707806
2023-01-11,62433.25991913175,60807.18669713215
2023-01-12,62568.115434930674,62416.03959000909
2023-01-13,63366.51939578388,61454.87806838458
2023-01-16,63581.69140049891,61663.5587634832
2023-01-17,63920.38285620317,62945.08036595481
2023-01-18,63369.193775475585,61462.37258786035
2023-01-19,62135.30362860621,62135.30362860621
2023-01-20,62154.05802596664,62154.05802596664
2023-01-23,61367.95706843016,59792.677063604446
2023-01-24,62281.49866623559,61086.05140900541
2023-01-25,62810.98257755895,61958.46649000794
2023-01-26,63440.53453556459,62378.167795345034
2023-01-27,61663.53175461465,61663.53175461465
2023-01-30,62333.64967325219,61953.72502470782
2023-01-31,62550.07752011596,60724.78126259616
2023-02-01,62789.72583419801,61933.56515356809
2023-02-02,64628.86410724433,62182.165595644896
2023-02-03,59203.20864211422,58766.4195614274
2023-02-06,59160.89485307413,58993.308514716395
2023-02-07,58806.96668712415,58806.96668712415
2023-02-08,59322.476111455326,58786.72612488106
2023-02-09,58625.05666800334,58221.7877350425
2023-02-10,58648.032162178635,58329.72312171874
2023-02-13,58447.98315488728,57929.332930521196
2023-02-14,58513.470961688945,58119.65396504643
2023-02-15,58154.88789506116,57358.90256185179
2023-02-16,57672.330969892755,57299.99565358028
2023-02-17,57855.54757817072,57772.9915418678
2023-02-20,57786.53830147552,57704.08073684196
2023-02-21,58485.044420935774,58178.910286550294
2023-02-22,58299.161057896345,57702.44795739633
2023-02-23,57381.18538907175,56660.262987261725
2023-02-24,56746.98232310753,55352.91629551917
2023-02-27,55456.296709918475,54643.89576523217
2023-02-28,55842.48457317219,54420.5083523109
2023-03-01,56103.27498597727,55387.06173768087
2023-03-02,55536.19128437003,55058.23140189803
2023-03-03,55923.96128135981,55146.507304993356
2023-03-06,55886.43817424215,55254.3584002345
2023-03-07,55267.52955447914,52647.027448706634
2023-03-08,53131.887084013135,52314.06895493113
2023-03-09,52794.17082617784,52741.45452325325
2023-03-10,53749.424903949715,53749.424903949715
2023-03-13,57542.668694806096,54630.28890189773
2023-03-14,58159.10711618214,57021.33039690067
2023-03-15,58638.51957811595,57363.77036379678
2023-03-16,58148.29741020239,57403.48667152318
2023-03-17,59316.90263620158,57721.92036266015
2023-03-20,60364.62800831121,59554.27961991382
2023-03-21,60065.78525036258,59015.96169862135
2023-03-22,61301.65245546365,60198.67212581694
2023-03-23,61212.114351779615,61212.114351779615
2023-03-24,61647.09550386371,61647.09550386371
2023-03-27,61052.8734831939,61052.8734831939
2023-03-28,61633.89432985197,61028.759369965206
2023-03-29,61881.182335449725,61881.182335449725
2023-03-30,63493.33636905242,62487.39369552892
2023-03-31,63849.41205138733,63069.954955882735
2023-04-03,63714.47746633384,62721.83395354589
2023-04-04,66401.23095864918,64627.71272936019
2023-04-05,66292.30556166399,65356.3843964323
2023-04-06,65905.58879979906,64957.684223585224
2023-04-07,65905.58879979906,64957.684223585224
2023-04-10,65501.54424019146,65491.001496411656
2023-04-11,66434.98627061711,65906.8842030266
2023-04-12,67524.21156286432,66415.7477664716
2023-04-13,68292.54947032999,67213.55393896156
2023-04-14,68160.96158872139,66687.21245165599
2023-04-17,66027.60364984357,66027.60364984357
2023-04-18,66733.39969481029,66364.12556405248
2023-04-19,67063.49867400173,65580.31049866953
2023-04-20,67005.57951700522,66627.868450163
2023-04-21,66462.4584067442,66127.24054079513
2023-04-24,66643.53972389358,65903.5237594907
2023-04-25,66358.26755831337,65186.23306058803
2023-04-26,66063.85797026004,65382.979928489964
2023-04-27,66336.01115854367,64638.80240838827
2023-04-28,66063.75890001426,65208.690340744644
2023-05-01,68300.0827906862,65798.0309669943
2023-05-02,67187.5845961105,64765.46148303574
2023-05-03,67337.7206363206,66272.21192798027
2023-05-04,68588.55092703892,67273.58637321056
